img,coefficient
1792.jpeg,0.9935
1793.jpeg,0.8495
1794.jpeg,0.0
1795.jpeg,0.9991
1796.jpeg,0.0
1797.jpeg,0.9992
1798.jpeg,0.9994
1799.jpeg,0.0
18.jpeg,0.9995
180.jpeg,0.9998
1800.jpeg,0.0
1802.jpeg,0.9827
1803.jpeg,0.9891
1805.jpeg,0.9997
1806.jpeg,0.9995
1807.jpeg,0.9996
1808.jpeg,0.9956
1809.jpeg,0.9994
181.jpeg,0.9980
1810.jpeg,0.0
1811.jpeg,0.0
1812.jpeg,0.9989
1813.jpeg,0.9996
1814.jpeg,0.0
1816.jpeg,0.9976
1817.jpeg,0.9994
1818.jpeg,0.6897
1819.jpeg,0.9998
182.jpeg,0.9977
1820.jpeg,0.9998
1821.jpeg,0.9990
1822.jpeg,0.9967
1823.jpeg,0.9990
1824.jpeg,0.9921
1825.jpeg,0.9998
1826.jpeg,0.9983
1827.jpeg,0.0
1828.jpeg,0.9993
1829.jpeg,0.9962
183.jpeg,0.9942
1830.jpeg,0.9996
1831.jpeg,0.9993
1833.jpeg,0.0
1834.jpeg,0.9997
1835.jpeg,0.9957
1836.jpeg,0.9867
1837.jpeg,0.9999
1838.jpeg,0.9984
1839.jpeg,0.9981
184.jpeg,0.9998
1840.jpeg,0.9999
1841.jpeg,0.9997
1842.jpeg,0.0
1843.jpeg,0.9992
1844.jpeg,0.0
1845.jpeg,0.9994
1847.jpeg,0.9989
1848.jpeg,0.9987
1849.jpeg,0.9999
185.jpeg,0.9995
1850.jpeg,0.9929
1851.jpeg,0.9998
1852.jpeg,0.9994
1853.jpeg,0.9986
1854.jpeg,0.9999
1856.jpeg,0.9986
1857.jpeg,0.9994
1858.jpeg,0.9998
1859.jpeg,0.9998
186.jpeg,0.9997
1860.jpeg,0.9998
1861.jpeg,0.9961
1862.jpeg,0.9998
1863.jpeg,0.9998
1864.jpeg,0.9996
1865.jpeg,0.9999
1866.jpeg,0.9966
1867.jpeg,0.9994
1868.jpeg,0.9999
1869.jpeg,0.9999
187.jpeg,0.9997
1871.jpeg,0.9988
1872.jpeg,0.9965
1873.jpeg,0.9997
1874.jpeg,0.9997
1875.jpeg,0.0
1876.jpeg,0.9999
1878.jpeg,0.9997
1879.jpeg,0.0
188.jpeg,0.9997
1880.jpeg,0.9964
1881.jpeg,0.9913
1882.jpeg,0.9942
1883.jpeg,0.9992
1884.jpeg,0.9982
1885.jpeg,0.9967
1886.jpeg,0.9999
1887.jpeg,0.0
1888.jpeg,0.9996
189.jpeg,0.9993
1890.jpeg,0.9996
1891.jpeg,0.9986
1892.jpeg,0.9993
1894.jpeg,0.9994
1895.jpeg,0.0
1896.jpeg,0.9999
1897.jpeg,0.9994
1898.jpeg,0.0
1899.jpeg,0.9994
19.jpeg,0.9941
190.jpeg,0.9997
1900.jpeg,0.9992
1901.jpeg,0.9994
1902.jpeg,0.9996
1904.jpeg,0.9998
1906.jpeg,0.9983
1908.jpeg,0.9984
1909.jpeg,0.9948
191.jpeg,0.9990
1910.jpeg,0.9997
1911.jpeg,0.9984
1912.jpeg,0.9988
1913.jpeg,0.9986
1914.jpeg,0.9947
1915.jpeg,0.0
1916.jpeg,0.9998
1917.jpeg,0.9997
1918.jpeg,0.9998
1919.jpeg,0.9998
192.jpeg,0.9999
1920.jpeg,0.9998
1921.jpeg,0.9512
1922.jpeg,0.9995
1923.jpeg,0.9999
1924.jpeg,0.0
1925.jpeg,0.9939
1926.jpeg,0.9971
1927.jpeg,0.9978
1928.jpeg,0.9994
1929.jpeg,0.0
193.jpeg,0.9988
1930.jpeg,0.9999
1932.jpeg,0.9999
1933.jpeg,1.0000
1934.jpeg,0.9978
1935.jpeg,0.9995
1936.jpeg,0.9999
1937.jpeg,0.9995
1938.jpeg,0.9960
194.jpeg,0.0
1941.jpeg,0.9997
1942.jpeg,0.9997
1943.jpeg,0.9997
1944.jpeg,0.9998
1945.jpeg,0.9999
1946.jpeg,0.9987
1948.jpeg,0.9968
1949.jpeg,0.9995
195.jpeg,0.9987
1950.jpeg,0.9999
1952.jpeg,0.9998
1953.jpeg,0.9824
1954.jpeg,0.0
1955.jpeg,0.9996
1956.jpeg,0.9943
1957.jpeg,0.9938
1958.jpeg,0.9998
1959.jpeg,0.9993
1960.jpeg,0.9993
1961.jpeg,0.9989
1962.jpeg,0.9997
1963.jpeg,0.9964
1964.jpeg,0.9945
1965.jpeg,0.9997
1966.jpeg,0.9632
1967.jpeg,0.9947
1968.jpeg,0.0
1969.jpeg,0.0
197.jpeg,0.9998
1971.jpeg,0.9992
1972.jpeg,0.9994
1973.jpeg,0.9995
1974.jpeg,0.9998
1975.jpeg,0.0
1976.jpeg,0.9999
1977.jpeg,0.9966
1978.jpeg,0.9996
1979.jpeg,0.9998
198.jpeg,0.9999
1980.jpeg,0.9997
1981.jpeg,0.9979
1982.jpeg,0.9997
1983.jpeg,0.0
1984.jpeg,0.9993
1985.jpeg,0.9999
1988.jpeg,0.9991
199.jpeg,0.9983
1990.jpeg,0.9987
1992.jpeg,0.9987
1993.jpeg,0.9984
1994.jpeg,0.9999
1995.jpeg,0.9994
1996.jpeg,0.9999
1997.jpeg,0.9929
1998.jpeg,0.9991
1999.jpeg,0.0
2.jpeg,0.9990
20.jpeg,0.9980
200.jpeg,0.9987
2000.jpeg,0.9995
2001.jpeg,0.9998
2003.jpeg,0.9928
2004.jpeg,0.9998
2005.jpeg,0.9995
2006.jpeg,0.9979
2007.jpeg,0.9995
2008.jpeg,0.9901
2009.jpeg,0.0
201.jpeg,0.9997
2012.jpeg,0.9998
2013.jpeg,0.9989
2015.jpeg,0.9981
2016.jpeg,0.9992
2017.jpeg,0.9997
2018.jpeg,0.9988
2019.jpeg,0.9988
2021.jpeg,0.9996
2023.jpeg,0.9998
2024.jpeg,0.9970
2025.jpeg,0.9976
2026.jpeg,0.9999
2027.jpeg,0.9999
2030.jpeg,0.0
2031.jpeg,0.9940
2032.jpeg,0.9997
2033.jpeg,0.9997
2034.jpeg,0.9994
2035.jpeg,0.9994
2036.jpeg,0.0
2037.jpeg,0.0
2038.jpeg,0.9999
2039.jpeg,0.9985
204.jpeg,0.9998
2040.jpeg,0.0
2041.jpeg,0.9998
2042.jpeg,0.9988
2043.jpeg,0.9996
2044.jpeg,0.9999
2045.jpeg,0.9996
2047.jpeg,0.0
2048.jpeg,0.9985
2049.jpeg,0.9245
2050.jpeg,0.0
2051.jpeg,0.9999
2052.jpeg,0.9942
2053.jpeg,0.9994
2054.jpeg,0.9538
2055.jpeg,0.9993
2056.jpeg,0.9958
2057.jpeg,0.9999
2058.jpeg,0.9995
2059.jpeg,0.9996
206.jpeg,0.9999
2060.jpeg,0.9886
2061.jpeg,0.9996
2062.jpeg,0.9999
2063.jpeg,0.9984
2064.jpeg,0.9999
2065.jpeg,0.9996
2066.jpeg,0.9990
2067.jpeg,0.0
2068.jpeg,0.9995
2069.jpeg,0.9997
207.jpeg,0.9961
2070.jpeg,0.9996
2071.jpeg,0.9997
2072.jpeg,0.9997
2073.jpeg,0.9999
2074.jpeg,0.9989
2075.jpeg,0.9997
2076.jpeg,0.9614
2079.jpeg,0.0
208.jpeg,0.0
2080.jpeg,0.0
2081.jpeg,0.9991
2082.jpeg,0.9664
2083.jpeg,0.9999
2084.jpeg,0.9967
2085.jpeg,0.9997
2086.jpeg,0.9996
2087.jpeg,0.9998
2088.jpeg,0.9974
2089.jpeg,0.9996
