img,is_face,coefficient
10160.jpeg,1,0.9964
10162.jpeg,1,0.9901
10163.jpeg,1,0.9936
10164.jpeg,1,0.9927
10165.jpeg,1,0.9995
10167.jpeg,1,0.9972
10168.jpeg,1,0.9908
10169.jpeg,1,0.9974
1017.jpeg,1,0.8102
10171.jpeg,1,0.9969
10172.jpeg,1,0.9952
10173.jpeg,1,0.9997
10174.jpeg,1,0.9989
10175.jpeg,1,0.9998
10176.jpeg,0,0.0
10177.jpeg,1,0.9977
10178.jpeg,1,0.9991
10179.jpeg,1,0.9999
1018.jpeg,1,0.9992
10180.jpeg,1,0.9676
10181.jpeg,0,0.0
10183.jpeg,1,0.9997
10184.jpeg,1,0.9940
10185.jpeg,0,0.0
10186.jpeg,1,0.9986
10188.jpeg,1,0.9949
1019.jpeg,1,0.9999
10190.jpeg,1,0.9961
10191.jpeg,1,0.9965
10192.jpeg,1,0.9912
10193.jpeg,1,0.9997
10194.jpeg,1,0.9979
10196.jpeg,0,0.0
10197.jpeg,1,0.9505
102.jpeg,1,0.9963
10202.jpeg,1,0.8770
10203.jpeg,1,0.9996
10204.jpeg,1,0.9221
10205.jpeg,1,0.9974
10207.jpeg,1,0.9717
10208.jpeg,1,0.9996
1021.jpeg,1,0.9947
10210.jpeg,1,0.9997
10211.jpeg,1,0.9939
10212.jpeg,0,0.0
10214.jpeg,0,0.0
10215.jpeg,0,0.0
10216.jpeg,1,0.9986
10217.jpeg,1,0.9946
10219.jpeg,1,0.9997
10220.jpeg,1,0.9996
10221.jpeg,1,0.9922
10222.jpeg,1,0.9983
10223.jpeg,1,0.9999
10225.jpeg,1,0.9998
10226.jpeg,1,0.9980
10230.jpeg,1,0.9939
10231.jpeg,1,0.9991
10232.jpeg,1,0.9983
10233.jpeg,1,0.9975
10234.jpeg,1,0.9997
10235.jpeg,1,0.9926
10236.jpeg,1,0.9979
10237.jpeg,1,0.9999
10238.jpeg,1,0.9997
10241.jpeg,1,0.9998
10242.jpeg,1,0.9942
10243.jpeg,1,0.9982
10244.jpeg,0,0.0
10245.jpeg,1,0.9998
10246.jpeg,1,0.9940
10248.jpeg,1,0.9983
10249.jpeg,1,0.9988
10250.jpeg,1,0.9818
10251.jpeg,1,0.9549
10252.jpeg,1,0.9868
10254.jpeg,1,0.9957
10255.jpeg,1,0.9937
10256.jpeg,1,0.9995
10257.jpeg,1,0.9983
10258.jpeg,1,0.9818
10259.jpeg,1,0.9980
1026.jpeg,1,0.9997
10261.jpeg,1,0.9954
10263.jpeg,1,0.9924
10265.jpeg,1,0.9975
10266.jpeg,1,0.9999
1027.jpeg,1,0.9986
10270.jpeg,1,0.9851
10271.jpeg,1,0.8259
10272.jpeg,0,0.0
10273.jpeg,0,0.0
10274.jpeg,1,0.9996
10276.jpeg,1,0.9636
10277.jpeg,1,0.9970
10279.jpeg,1,0.9718
1028.jpeg,1,0.9983
10280.jpeg,1,0.9999
10281.jpeg,1,0.9991
10282.jpeg,1,0.9960
10283.jpeg,1,0.9943
10284.jpeg,1,0.9992
10285.jpeg,1,0.6100
10286.jpeg,1,0.9992
10287.jpeg,1,0.9960
10288.jpeg,1,0.9973
1029.jpeg,1,0.8836
10290.jpeg,0,0.0
10291.jpeg,1,0.9971
10294.jpeg,1,0.9977
10296.jpeg,1,0.9981
10297.jpeg,1,0.9998
10298.jpeg,1,0.9985
10299.jpeg,1,0.9999
103.jpeg,1,0.9995
10300.jpeg,1,0.9990
10301.jpeg,1,0.8899
10302.jpeg,1,0.9952
10303.jpeg,1,0.9841
10305.jpeg,1,0.9905
10307.jpeg,1,0.9942
10308.jpeg,1,0.9997
10309.jpeg,1,0.9987
1031.jpeg,1,0.9814
10310.jpeg,1,0.9983
10311.jpeg,1,0.9525
10312.jpeg,1,0.9528
10313.jpeg,1,0.9997
10314.jpeg,1,0.9505
10316.jpeg,0,0.0
10317.jpeg,1,0.8603
10319.jpeg,0,0.0
1032.jpeg,1,0.9962
10320.jpeg,1,0.9995
10321.jpeg,1,0.9993
10322.jpeg,1,0.9940
10323.jpeg,1,0.9955
10324.jpeg,1,0.9956
10325.jpeg,1,0.9871
10327.jpeg,1,0.9947
10328.jpeg,1,0.9977
10329.jpeg,0,0.0
1033.jpeg,1,0.9996
10330.jpeg,1,0.9947
10335.jpeg,1,0.9999
10337.jpeg,1,0.9996
10338.jpeg,1,0.9782
10339.jpeg,1,0.9995
10340.jpeg,1,0.9992
10342.jpeg,1,0.5531
10343.jpeg,1,0.9994
10344.jpeg,1,0.9991
10345.jpeg,1,0.9978
10346.jpeg,1,0.7807
10347.jpeg,1,0.9998
10349.jpeg,1,0.9999
1035.jpeg,1,0.9998
10351.jpeg,1,0.9218
10352.jpeg,1,0.9997
10353.jpeg,1,0.9994
10354.jpeg,1,0.9971
10355.jpeg,1,0.9999
10356.jpeg,1,0.9971
10357.jpeg,1,0.9924
10359.jpeg,1,0.9819
1036.jpeg,1,0.9982
10360.jpeg,1,0.9981
10362.jpeg,1,0.9962
10363.jpeg,1,0.9998
10364.jpeg,1,0.9953
10368.jpeg,1,0.9968
10369.jpeg,0,0.0
1037.jpeg,1,0.9919
10370.jpeg,1,0.9988
10371.jpeg,1,0.9998
10372.jpeg,1,0.9875
10373.jpeg,1,0.9996
10376.jpeg,1,0.9973
10379.jpeg,1,0.9984
1038.jpeg,0,0.0
10380.jpeg,1,0.9997
10381.jpeg,1,0.9969
10382.jpeg,1,0.9998
10383.jpeg,1,0.9388
10384.jpeg,1,0.9914
10385.jpeg,1,0.9919
10387.jpeg,1,0.9962
10388.jpeg,1,0.9000
10389.jpeg,1,0.9998
1039.jpeg,0,0.0
10390.jpeg,1,0.8796
10393.jpeg,1,0.9914
10394.jpeg,1,0.9994
10396.jpeg,1,0.9973
10397.jpeg,1,0.9886
10398.jpeg,1,0.9992
10399.jpeg,1,0.9927
104.jpeg,1,0.9985
1040.jpeg,1,0.9360
10400.jpeg,1,0.9946
10401.jpeg,1,0.9995
10403.jpeg,1,0.9960
10404.jpeg,1,0.9989
10405.jpeg,1,0.9988
10406.jpeg,1,0.9802
10408.jpeg,0,0.0
1041.jpeg,1,0.9987
10410.jpeg,1,0.9951
10412.jpeg,1,0.6917
10413.jpeg,1,0.9977
10414.jpeg,1,0.9993
10418.jpeg,1,0.9896
1042.jpeg,1,0.9747
10420.jpeg,1,0.9995
10421.jpeg,1,0.9957
10422.jpeg,1,0.9997
10423.jpeg,1,0.9969
10424.jpeg,1,0.9972
10425.jpeg,1,0.9175
10426.jpeg,1,0.9993
10427.jpeg,1,0.9898
10429.jpeg,1,0.9977
1043.jpeg,0,0.0
10430.jpeg,1,0.9981
10431.jpeg,1,0.9990
10435.jpeg,1,0.9995
10438.jpeg,1,0.9976
10439.jpeg,1,0.9988
1044.jpeg,1,0.9991
10440.jpeg,1,0.9947
10443.jpeg,0,0.0
10444.jpeg,1,0.9999
10445.jpeg,1,0.9925
10446.jpeg,1,0.9998
10447.jpeg,1,0.9995
10448.jpeg,1,0.7122
10449.jpeg,1,0.9993
1045.jpeg,0,0.0
10450.jpeg,1,0.9992
10451.jpeg,0,0.0
10452.jpeg,1,0.9995
10453.jpeg,1,0.9999
10455.jpeg,1,0.9996
10456.jpeg,1,0.9991
10457.jpeg,1,0.9991
10458.jpeg,1,0.9588
10459.jpeg,0,0.0
1046.jpeg,0,0.0
10460.jpeg,1,0.9995
10461.jpeg,1,0.9961
10463.jpeg,1,0.9644
10464.jpeg,1,0.9494
10465.jpeg,1,0.9972
10466.jpeg,1,0.9994
10467.jpeg,1,0.9969
10468.jpeg,1,0.9988
10469.jpeg,1,0.9995
10470.jpeg,1,0.9998
10471.jpeg,1,0.9998
10473.jpeg,1,0.9727
10475.jpeg,1,0.9983
10476.jpeg,1,0.9998
10478.jpeg,1,0.9952
10479.jpeg,1,0.9962
1048.jpeg,1,0.7876
10480.jpeg,1,0.9989
10481.jpeg,1,0.9939
10482.jpeg,0,0.0
10484.jpeg,1,0.9191
10485.jpeg,1,0.9983
10486.jpeg,1,0.9853
10488.jpeg,1,0.9915
10489.jpeg,1,0.9997
1049.jpeg,0,0.0
10492.jpeg,1,0.9992
10495.jpeg,0,0.0
10496.jpeg,1,0.9819
10497.jpeg,1,0.9829
10498.jpeg,1,0.9973
10499.jpeg,1,0.9942
10500.jpeg,1,0.9835
10502.jpeg,1,0.9972
10503.jpeg,1,0.9995
10504.jpeg,1,0.9977
10506.jpeg,1,0.9966
10508.jpeg,1,0.9999
1051.jpeg,1,0.9939
10511.jpeg,1,0.9997
10512.jpeg,1,0.9982
10514.jpeg,1,0.9682
10515.jpeg,1,0.9995
10517.jpeg,1,0.9993
10518.jpeg,0,0.0
10519.jpeg,1,0.9992
1052.jpeg,1,0.9883
10521.jpeg,1,0.9787
10525.jpeg,0,0.0
10526.jpeg,1,0.8533
10527.jpeg,1,0.8752
10529.jpeg,1,0.9967
1053.jpeg,0,0.0
10530.jpeg,1,0.9982
10531.jpeg,1,0.7946
10532.jpeg,1,0.9995
10533.jpeg,1,0.9997
10535.jpeg,1,0.9980
10536.jpeg,0,0.0
10537.jpeg,1,0.9994
10538.jpeg,1,0.9991
10539.jpeg,1,0.9932
1054.jpeg,1,0.9997
10540.jpeg,1,0.8941
10541.jpeg,1,0.9938
10542.jpeg,1,0.9360
10543.jpeg,1,0.7657
10545.jpeg,1,0.9881
10546.jpeg,1,0.9997
10547.jpeg,1,0.9998
10548.jpeg,0,0.0
10549.jpeg,1,0.9993
10550.jpeg,1,0.9930
10551.jpeg,1,0.9620
10556.jpeg,0,0.0
10557.jpeg,1,0.9992
10558.jpeg,0,0.0
10559.jpeg,1,0.9999
10562.jpeg,1,0.9996
10563.jpeg,1,0.9576
10565.jpeg,1,0.9990
10566.jpeg,1,0.9993
10567.jpeg,1,0.9972
10568.jpeg,1,0.9987
10569.jpeg,1,0.9963
1057.jpeg,1,0.9819
10570.jpeg,1,0.9995
10571.jpeg,1,0.9945
10572.jpeg,0,0.0
10573.jpeg,1,0.9933
10574.jpeg,1,0.9999
10575.jpeg,0,0.0
10577.jpeg,1,0.7020
10578.jpeg,1,0.9976
10579.jpeg,0,0.0
10580.jpeg,1,0.9973
10582.jpeg,1,0.9996
10584.jpeg,1,0.9911
10586.jpeg,1,0.9917
10588.jpeg,1,0.9963
10589.jpeg,1,0.9748
10593.jpeg,1,0.9189
10594.jpeg,1,0.9259
10595.jpeg,1,0.9966
10596.jpeg,1,0.9759
10599.jpeg,1,0.9996
1060.jpeg,1,0.9985
10600.jpeg,1,0.9949
10601.jpeg,1,0.9959
10602.jpeg,1,0.9968
10603.jpeg,1,0.9997
10604.jpeg,1,0.9983
10605.jpeg,1,0.9980
10606.jpeg,1,0.9989
10609.jpeg,1,0.9889
1061.jpeg,1,0.9998
10610.jpeg,1,0.9952
10611.jpeg,1,0.9636
10613.jpeg,1,0.9984
10614.jpeg,1,0.9996
10615.jpeg,1,0.9968
10616.jpeg,1,0.9989
10617.jpeg,1,0.9997
10618.jpeg,1,0.9929
10619.jpeg,1,0.9094
10620.jpeg,1,0.9984
10622.jpeg,1,0.9974
10623.jpeg,1,0.9996
10625.jpeg,1,0.9962
10626.jpeg,0,0.0
10627.jpeg,1,0.9931
10628.jpeg,0,0.0
10629.jpeg,1,0.9953
10630.jpeg,0,0.0
10631.jpeg,0,0.0
10634.jpeg,1,0.9941
10635.jpeg,1,0.8711
10636.jpeg,1,0.9995
10637.jpeg,1,0.9997
10638.jpeg,1,0.9913
10639.jpeg,0,0.0
1064.jpeg,1,0.9988
10641.jpeg,1,0.9998
10642.jpeg,1,0.9999
10646.jpeg,1,0.9989
10648.jpeg,0,0.0
10649.jpeg,1,0.9990
1065.jpeg,1,0.7577
10651.jpeg,1,0.9986
10652.jpeg,1,0.9993
10653.jpeg,1,0.9880
10654.jpeg,1,0.9980
10655.jpeg,1,0.9998
10657.jpeg,1,0.9561
10658.jpeg,1,0.9986
10659.jpeg,1,0.9950
1066.jpeg,1,0.9954
10660.jpeg,1,0.9962
10662.jpeg,1,0.9990
10663.jpeg,1,0.9999
10664.jpeg,1,0.9991
10666.jpeg,1,0.9962
10667.jpeg,0,0.0
10668.jpeg,1,0.7949
10669.jpeg,0,0.0
1067.jpeg,1,0.9999
10670.jpeg,0,0.0
10671.jpeg,0,0.0
10674.jpeg,1,0.9999
10676.jpeg,1,0.9981
10677.jpeg,1,0.9833
10678.jpeg,1,0.9945
10679.jpeg,1,0.9988
1068.jpeg,1,0.9996
10680.jpeg,1,0.9926
10682.jpeg,1,0.9988
10684.jpeg,1,0.9996
10689.jpeg,1,0.9949
1069.jpeg,1,0.9965
10690.jpeg,1,0.9998
10691.jpeg,1,0.9753
10692.jpeg,1,0.9329
10693.jpeg,1,0.9980
10695.jpeg,1,0.9999
10696.jpeg,1,0.9432
10697.jpeg,1,0.9997
10698.jpeg,1,0.9989
10699.jpeg,1,0.9992
107.jpeg,1,0.9922
1070.jpeg,1,0.9998
10700.jpeg,1,0.9966
10701.jpeg,1,0.9995
10702.jpeg,1,0.9999
10703.jpeg,1,0.9962
10705.jpeg,1,0.9632
10706.jpeg,1,0.9995
10707.jpeg,0,0.0
10708.jpeg,0,0.0
10710.jpeg,1,0.9998
10712.jpeg,1,0.9999
10714.jpeg,1,0.9996
10715.jpeg,1,0.9959
10716.jpeg,1,0.9758
10718.jpeg,1,0.9997
10719.jpeg,1,0.9994
1072.jpeg,1,0.9855
10720.jpeg,1,0.9985
10721.jpeg,1,0.9708
10723.jpeg,1,0.9801
10724.jpeg,1,0.9971
10726.jpeg,1,0.9506
10727.jpeg,1,0.9999
10729.jpeg,0,0.0
10731.jpeg,1,0.8088
10733.jpeg,1,0.9914
10734.jpeg,1,0.9998
10736.jpeg,1,0.9994
10737.jpeg,1,0.9957
10738.jpeg,1,0.9996
10739.jpeg,1,0.9303
1074.jpeg,1,0.9906
10740.jpeg,1,0.9939
10741.jpeg,1,0.9946
10742.jpeg,1,0.9949
10743.jpeg,1,0.9958
10745.jpeg,1,0.9985
10746.jpeg,1,0.9999
10748.jpeg,1,0.9977
1075.jpeg,1,0.9996
10751.jpeg,1,0.9991
10753.jpeg,1,0.9937
10754.jpeg,0,0.0
10755.jpeg,1,0.8599
10757.jpeg,1,0.9969
10758.jpeg,1,0.9993
10759.jpeg,1,0.9460
1076.jpeg,1,0.9998
10760.jpeg,1,0.9994
10761.jpeg,1,0.9999
10762.jpeg,1,0.9596
10763.jpeg,1,0.9961
10764.jpeg,1,0.9993
10766.jpeg,1,0.9906
10767.jpeg,1,0.9678
10768.jpeg,1,0.9979
10769.jpeg,1,0.9109
1077.jpeg,1,0.9952
10770.jpeg,1,0.9927
10771.jpeg,1,0.9935
10773.jpeg,1,0.9914
10775.jpeg,1,0.9976
10779.jpeg,1,0.9997
10780.jpeg,1,0.9997
10781.jpeg,1,0.9932
10782.jpeg,1,0.9997
10784.jpeg,1,0.9987
10787.jpeg,1,0.9998
10788.jpeg,1,0.9972
10789.jpeg,0,0.0
1079.jpeg,1,0.9932
10791.jpeg,1,0.9859
10792.jpeg,1,0.9996
10793.jpeg,1,0.9988
10794.jpeg,1,0.9986
10795.jpeg,1,0.8393
10796.jpeg,0,0.0
10797.jpeg,1,0.9887
10799.jpeg,0,0.0
108.jpeg,1,0.9938
1080.jpeg,1,0.9970
10801.jpeg,1,0.8956
10802.jpeg,1,0.9994
10803.jpeg,1,0.9995
10805.jpeg,1,0.9992
10807.jpeg,1,0.9952
10808.jpeg,1,0.9920
10809.jpeg,1,0.9780
1081.jpeg,1,0.9997
10810.jpeg,1,0.9998
10811.jpeg,0,0.0
10812.jpeg,1,0.9993
10813.jpeg,1,0.9995
10814.jpeg,1,0.9995
10815.jpeg,1,0.9995
10818.jpeg,1,0.9996
10819.jpeg,1,0.9998
1082.jpeg,1,0.9996
10820.jpeg,0,0.0
10822.jpeg,1,0.9552
10823.jpeg,1,0.9994
10824.jpeg,1,0.9993
10827.jpeg,1,0.9971
10830.jpeg,1,0.9992
10832.jpeg,1,0.9883
10833.jpeg,1,0.9999
10834.jpeg,1,0.9947
10835.jpeg,1,0.9993
10836.jpeg,1,0.9786
10837.jpeg,1,0.9968
10838.jpeg,1,0.9957
10839.jpeg,1,0.9997
1084.jpeg,1,0.9058
10841.jpeg,1,0.9956
10842.jpeg,1,0.9961
10843.jpeg,1,0.9988
10845.jpeg,0,0.0
10846.jpeg,1,0.9943
10847.jpeg,0,0.0
10848.jpeg,1,0.9992
10849.jpeg,1,0.9869
1085.jpeg,1,0.9694
10850.jpeg,1,0.9988
10851.jpeg,1,0.9991
10852.jpeg,1,0.9609
10853.jpeg,1,0.9895
10856.jpeg,1,0.9997
10858.jpeg,1,0.9998
10859.jpeg,1,0.9997
1086.jpeg,1,0.9999
10860.jpeg,0,0.0
10861.jpeg,1,0.9994
10862.jpeg,1,0.9972
10863.jpeg,1,0.9980
10868.jpeg,1,0.9947
1087.jpeg,1,0.9998
10870.jpeg,1,0.9981
10872.jpeg,1,0.9978
10876.jpeg,1,0.9964
10877.jpeg,1,0.9838
1088.jpeg,1,0.9910
10880.jpeg,1,0.9996
10881.jpeg,0,0.0
10882.jpeg,1,0.9641
10883.jpeg,1,0.9986
10884.jpeg,1,0.9998
10885.jpeg,1,0.9998
10886.jpeg,1,0.9971
10887.jpeg,1,0.9700
10888.jpeg,1,0.9729
10889.jpeg,1,0.9817
10890.jpeg,1,0.9992
10892.jpeg,1,0.9777
10893.jpeg,1,0.9939
10894.jpeg,1,0.9930
10895.jpeg,1,0.6088
10896.jpeg,1,0.9985
10899.jpeg,1,0.9940
109.jpeg,1,0.7540
1090.jpeg,0,0.0
10900.jpeg,1,0.9917
10901.jpeg,1,0.9996
10903.jpeg,1,0.9993
10906.jpeg,1,0.9968
10907.jpeg,1,0.8015
10908.jpeg,1,0.9980
10909.jpeg,1,0.9997
10911.jpeg,1,0.9926
10912.jpeg,1,0.9994
10916.jpeg,0,0.0
10917.jpeg,1,0.9995
10918.jpeg,1,0.9997
1092.jpeg,1,0.9984
10920.jpeg,1,0.9998
10921.jpeg,1,0.9983
10922.jpeg,1,0.9784
10923.jpeg,1,0.9718
10924.jpeg,1,0.9202
10926.jpeg,0,0.0
10927.jpeg,1,0.9999
10928.jpeg,1,0.9936
10929.jpeg,0,0.0
1093.jpeg,0,0.0
10930.jpeg,1,0.9917
10931.jpeg,1,0.9854
10932.jpeg,0,0.0
10934.jpeg,1,0.9958
10935.jpeg,1,0.9726
10936.jpeg,1,0.9998
10937.jpeg,1,0.9760
10938.jpeg,1,0.5767
10939.jpeg,1,0.9935
1094.jpeg,0,0.0
10940.jpeg,1,0.9988
10941.jpeg,1,0.9921
10942.jpeg,1,0.9893
10944.jpeg,1,0.9954
10945.jpeg,0,0.0
10946.jpeg,0,0.0
10947.jpeg,0,0.0
10949.jpeg,1,0.9992
10951.jpeg,1,0.9986
10953.jpeg,1,0.9932
10954.jpeg,1,0.9898
10955.jpeg,1,0.9974
10956.jpeg,1,0.9968
10957.jpeg,0,0.0
10958.jpeg,0,0.0
10959.jpeg,1,0.9970
10960.jpeg,1,0.9997
10961.jpeg,1,0.9935
10962.jpeg,1,0.9995
10963.jpeg,1,0.9895
10964.jpeg,1,0.6038
10965.jpeg,1,0.9998
10966.jpeg,1,0.9967
10967.jpeg,1,0.9981
10968.jpeg,1,0.9996
10969.jpeg,1,0.9993
10971.jpeg,1,0.9999
10972.jpeg,1,0.9566
10973.jpeg,1,0.9991
10974.jpeg,0,0.0
10975.jpeg,1,0.9999
10976.jpeg,1,0.9954
10977.jpeg,1,0.9875
10978.jpeg,0,0.0
10979.jpeg,1,0.9997
10980.jpeg,1,0.9889
10981.jpeg,1,0.9947
10982.jpeg,1,0.9988
10983.jpeg,1,0.9995
10984.jpeg,1,0.9996
10986.jpeg,1,0.9982
10987.jpeg,1,0.8780
10988.jpeg,1,0.9996
10989.jpeg,1,0.9999
1099.jpeg,1,0.9977
10990.jpeg,1,0.9909
10991.jpeg,0,0.0
10992.jpeg,1,0.9874
10994.jpeg,1,0.9993
10998.jpeg,1,0.9999
10999.jpeg,1,0.7885
1100.jpeg,1,0.9960
11000.jpeg,1,0.9998
11001.jpeg,1,0.9999
11002.jpeg,1,0.9965
11003.jpeg,1,0.9996
11004.jpeg,1,0.9965
11005.jpeg,1,0.9994
11006.jpeg,1,0.8471
11007.jpeg,1,0.9986
11008.jpeg,1,0.9712
11009.jpeg,1,0.9965
1101.jpeg,1,0.9997
11010.jpeg,1,0.9968
11011.jpeg,1,0.9995
11015.jpeg,1,0.9998
11016.jpeg,1,0.9996
11017.jpeg,1,0.9995
11018.jpeg,1,0.9967
1102.jpeg,0,0.0
11020.jpeg,1,0.9954
11021.jpeg,1,0.9922
11022.jpeg,1,0.9981
11026.jpeg,1,0.9996
11027.jpeg,1,0.9998
11028.jpeg,1,0.9943
11031.jpeg,1,0.9997
11033.jpeg,0,0.0
11034.jpeg,1,0.9988
11035.jpeg,0,0.0
11038.jpeg,1,0.9996
11039.jpeg,1,0.9981
1104.jpeg,1,0.9997
11041.jpeg,0,0.0
11042.jpeg,1,0.9997
11043.jpeg,0,0.0
11044.jpeg,1,0.9997
11045.jpeg,1,0.9596
11046.jpeg,0,0.0
11049.jpeg,1,0.9934
1105.jpeg,0,0.0
11051.jpeg,1,0.9991
11052.jpeg,1,0.9999
11053.jpeg,1,0.9997
11059.jpeg,1,0.9998
1106.jpeg,1,0.9976
11061.jpeg,0,0.0
11062.jpeg,1,0.9998
11063.jpeg,1,0.9948
11064.jpeg,1,0.9964
11065.jpeg,1,0.9564
11066.jpeg,1,0.9980
11067.jpeg,0,0.0
11068.jpeg,1,0.9993
1107.jpeg,1,0.9949
11070.jpeg,1,0.9997
11071.jpeg,1,0.9961
11072.jpeg,1,0.9982
11073.jpeg,1,0.9857
11074.jpeg,1,0.9994
11075.jpeg,1,0.9972
11076.jpeg,1,0.9996
11079.jpeg,1,0.9864
1108.jpeg,1,0.9957
11080.jpeg,1,0.9968
11081.jpeg,1,0.9995
11084.jpeg,1,0.9946
11087.jpeg,1,0.9996
11088.jpeg,1,0.9997
1109.jpeg,1,0.9051
11090.jpeg,1,0.9976
11093.jpeg,1,0.9963
11094.jpeg,1,0.9997
11096.jpeg,1,0.9994
11097.jpeg,1,0.9967
11098.jpeg,0,0.0
1110.jpeg,1,0.9996
11100.jpeg,1,0.9971
11101.jpeg,1,0.9579
11102.jpeg,1,0.9493
11104.jpeg,1,0.9747
11106.jpeg,1,0.9993
11109.jpeg,1,0.9803
11110.jpeg,1,0.9869
11111.jpeg,1,0.9686
11112.jpeg,1,0.9999
11113.jpeg,1,0.9933
11114.jpeg,1,0.9244
11115.jpeg,1,0.9550
11117.jpeg,1,0.5708
11118.jpeg,1,0.9956
1112.jpeg,1,0.9989
11120.jpeg,1,0.9983
11121.jpeg,1,0.9972
11122.jpeg,1,0.9882
11124.jpeg,1,0.9998
11126.jpeg,1,0.9999
11127.jpeg,1,0.9982
11129.jpeg,1,0.9998
1113.jpeg,1,0.9927
11130.jpeg,1,0.9960
11132.jpeg,0,0.0
11133.jpeg,1,0.9985
11136.jpeg,1,0.9985
11137.jpeg,0,0.0
11139.jpeg,1,0.9947
1114.jpeg,1,0.9978
11140.jpeg,1,0.9860
11141.jpeg,1,0.9938
11142.jpeg,1,0.9995
11144.jpeg,1,0.9983
11145.jpeg,1,0.9991
11146.jpeg,1,0.9977
11147.jpeg,1,0.9991
11148.jpeg,1,0.9795
1115.jpeg,1,0.9996
11150.jpeg,1,0.9132
11152.jpeg,1,0.9993
11153.jpeg,1,0.9999
11154.jpeg,1,0.9992
11156.jpeg,1,0.9996
11157.jpeg,1,0.9933
11158.jpeg,1,0.9861
11159.jpeg,1,0.9994
1116.jpeg,1,0.9996
11160.jpeg,1,0.9997
11161.jpeg,1,0.9947
11164.jpeg,1,0.9988
11165.jpeg,1,0.9235
11166.jpeg,1,0.9968
11167.jpeg,0,0.0
